Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,
Date,Session,Voter,How confident do you feel about the learning today:,I feel confident I can: The purpouse of formalism in Computer Science,I feel confident I can: What is the Software development life cycle,I feel confident I can: What are the outcomes of a Program,I feel confident I can: What are the steps of development,I feel confident I can: What is UML,I feel confident I can: I know basic Git,I feel confident I can: I can connect to the course repo,I feel confident I can: I kow how a remote repo works,I feel confident I can: I kow why we specify requirments,I feel confident I can: I know ehat a Requirment is ,I feel confident I can: I can find the needs/buissnes requirments,I feel confident I can: I know what a derived requirement,I feel confident I can: I know how to write a formal requiremnts documentation,I feel confident I can: I can do a simple FMEA,I feel confident I can: I can make an issue in the project,I feel confident I can: I know the difference between a requirment and an Feature
2024-11-18,1,1,,8,6,8,7,10,8,9,9,9,7,6,5,8,9,8,5
2024-11-18,1,2,Thumbs up,3,5,5,7,7,8,8,8,7,8,5,5,7,7,5,5
2024-11-18,1,3,,6,3,3,5,7,8,10,7,5,6,5,5,4,1,5,8
2024-11-18,1,4,Thumbs up,8,7,9,6,5,10,10,9,7,9,5,7,5,4,7,3
2024-11-18,1,5,Thumbs up,,,,,,,,,,,,,,,,
2024-11-18,1,6,Thumbs up,9,8,9,8,9,9,9,10,8,9,6,9,8,8,5,7
2024-11-18,1,7,,7,5,9,6,8,10,10,8,8,9,9,9,7,6,1,3
2024-11-18,1,8,Thumbs up,6,8,10,9,3,5,10,5,5,5,5,1,6,4,8,5
2024-11-18,1,9,Thumbs up,8,7,7,8,8,9,10,8,9,9,9,8,7,7,6,7
2024-11-18,1,10,,7,4,9,7,8,9,10,9,9,8,9,4,9,8,8,3
